	LogFC_0_4	LogFC_0_7	LogFC_0_14	LogFC_0_21
Selenomonas	0.775713389	2.952427544	1.628438542	2.546143239
Dialister	0.336949384	1.068475547	1.35389792	1.362749432
Megasphaera	0	3.228368021	1.750294754	1.882695299
Veillonella	0.09346351	-0.174997603	-0.297484833	-0.267760713
Rothia	0.205269151	1.087806732	-0.281852689	-1.127694348
Corynebacterium	1.305266857	0.724030444	1.100304553	0.212669435
Pseudopropionibacterium	0.480674658	0.152890807	0.773419884	0.311947017
Scardovia	1.424669256	2.840219196	1.705139975	1.242730709
Peptidiphaga	0.828640487	0.990223468	0.559544336	2.403717164
Actinomyces	0.304778808	0.420538395	0.556236804	0.180221931
Saccharibacteria_(TM7)_[G-5]	0	0	1.676948989	0
Saccharibacteria_(TM7)_[G-8]	0	0	0	0
Saccharibacteria_(TM7)_[G-1]	0.180802618	-0.189997311	1.010563281	-0.29737816
Saccharibacteria_(TM7)_[G-3]	0.288272676	-2.440944767	2.061570146	0.801788503
Saccharibacteria_(TM7)_[G-6]	-0.69787509	0.317171991	-0.149614217	-2.095689797
Campylobacter	0.559847946	-0.290124341	1.038765402	0.17756216
Porphyromonas	-0.030617815	0.211222743	0.383128686	-1.400849936
Tannerella	-0.304697632	-0.818391857	1.381830871	0.187397515
Prevotella	-0.15147144	0.027132623	0.640995859	0.325674138
Bacteroidales_[G-2]	-1.548736256	-3.320619062	0.676109668	-0.003356134
Capnocytophaga	0.841634975	0.093753072	0.968409418	0.043159186
Bergeyella	-0.780390263	-0.812894887	-0.284507318	-2.102216952
Bacteroidetes_[G-3]	-1.46268124	-2.589946185	-1.482068784	-0.242791094
Bacteroidetes_[G-5]	-1.548110666	-3.302073718	-1.736843013	-0.997791595
Alloprevotella	-0.791206419	-0.957026579	-1.22404549	-1.873557747
Olsenella	-0.780883241	-0.37918939	0.106433504	0.407313053
Atopobium	0.625840314	1.426889519	-0.187069313	0.486464276
Leptotrichia	1.092619388	1.029279504	2.822720719	0.203082191
Fusobacterium	0.698526305	0.149404312	1.386262072	0.21289902
Treponema	-0.395609178	-3.463790439	0.253583255	-0.09376423
Absconditabacteria_(SR1)_[G-1]	-1.545154544	-2.498177152	-0.933218707	-2.062406596
Gracilibacteria_(GN02)_[G-2]	-0.114617211	2.128419397	-0.943093767	-1.369078946
Gracilibacteria_(GN02)_[G-1]	0	0	1.507353349	0
Mycoplasma	0	0	0	0
Ruminococcaceae_[G-2]	0	0	0	0
Ruminococcaceae_[G-1]	-1.460601375	-2.544540991	0.78412047	-0.436965149
Oribacterium	-0.110402845	0.335712841	0.431967618	0.221518425
Stomatobaculum	0	1.416712481	1.796548452	1.706503854
Johnsonella	-1.536471685	-3.15557729	-0.573191602	-0.952965368
Lachnoanaerobaculum	-0.289422188	1.275999768	1.324614737	0.200532449
Lachnospiraceae_[G-2]	1.529823173	0	0	0
Lachnospiraceae_[G-3]	1.151365512	1.86723128	1.400950708	0.159969781
Catonella	-0.366026239	-0.257062134	0.687764446	0.422701755
Peptococcus	0.83850608	0.641122846	0.891624384	0.260089486
Peptostreptococcaceae_[XI][G-1]	1.054142325	0.53767442	0.891804281	0
Peptostreptococcaceae_[XI][G-4]	-1.206589785	-1.883704291	-1.072148202	-0.399835264
Peptostreptococcaceae_[XI][G-9]	0.215925981	0.308324756	1.364721863	0.643097576
Peptostreptococcus	-0.831824133	-3.42358259	-0.016138086	-0.740844267
Filifactor	-1.498257644	-2.868893962	-1.62315046	-1.866940284
Peptostreptococcaceae_[XI][G-7]	0.599180901	0.037985959	0.24213858	-0.95843919
Abiotrophia	-0.588052263	-0.863894307	-0.452995014	-2.264505234
Granulicatella	-0.526026598	0.097689828	-0.995656413	-2.030479775
Streptococcus	-0.200742386	-0.253394884	-0.281633309	-2.247525331
Gemella	0.015729189	0.139956117	-0.238990647	-2.22145376
Parvimonas	-0.142060946	0.020129864	-0.040147473	0.169737157
Solobacterium	-0.957058999	-0.271856572	-0.310824453	0.619622628
Erysipelotrichaceae_[G-1]	-1.436299792	-2.414175836	-1.37775671	-0.353698736
Cardiobacterium	0.876754277	0.380786135	1.375314626	-0.54729441
Aggregatibacter	0.82843336	0.336488159	1.06028729	-0.4171036
Haemophilus	-0.380139821	-0.5184513	-0.788174308	-1.751537729
Neisseria	-0.109670103	0.871828923	0.588062553	-0.672299486
Eikenella	0.336195759	-3.230524333	0.157309777	-0.884341086
Kingella	1.480437249	1.767251415	1.265513358	0.706667137
Burkholderia	1.560605834	0	1.636553313	0
Acidovorax	-0.841059389	-0.005586856	-0.909876975	-1.973003079
Ottowia	0	0	0	0
Lautropia	0.002667895	-0.109502405	-0.064341646	-0.93131799
Moraxella	0.074081612	-2.41757189	-1.727916396	-0.564803886
Fretibacterium	-1.07976962	-1.653261955	0.887370145	0.58088767
Veillonellaceae_[G-1]	-1.509584457	-2.958890609	-0.342793272	0.486728448
