	HC_0 vs HC_4	HC_0 vs HC_7	HC_0 vs HC_14	HC_0 vs HC_21
MPO	NA	-0.098650073	-0.162966341	-0.646643309
CCL21	0.590578222	0.580417717	1.319366597	-0.226591299
CXCL13	-0.407066788	0.130766625	-0.033352754	-0.955726988
CCL27	-0.023612557	-0.981384322	-1.371968777	-0.106915204
CXCL5	0.420010022	-0.125953849	0.009186823	0.230559352
CCL11	0.148644081	-0.02481632	0.192120748	-0.142096136
CCL26	0.303144619	-0.896164189	-0.501304572	-0.393663848
CX3CL1	0.346501228	-0.377010916	0.208343079	0.302645885
CXCL6	-0.131266396	-0.515529215	-0.30731047	-0.842458723
GM_CSF	0.084137148	-0.109648695	0.20427867	-0.202057001
CXCL1	0.30678982	-0.068294244	-0.067069515	-0.144086395
CXCL2	0.529040858	0.273117204	0.521839884	0.008071868
CCL1	-0.082702589	-0.155185343	-0.166353341	-0.159236438
IFNy	0.046136622	-0.275791473	-0.000426265	0.130317709
IL1b	0.132864746	0.220622074	-0.152763574	-0.041015398
IL2	0.80937409	-0.267283879	0.501251794	1.685676365
IL6	1.576950687	0.486567749	0.302624465	1.086925625
IL8	0.722199733	0.169379604	-0.24259868	0.228694514
IL10	0.41274635	-0.250270777	0.007472969	0.091755983
IL16	0.432363972	-0.130261935	-0.001520688	0.296796208
CXCL10	-0.419291985	-1.054104699	0.206096816	1.265174628
CXCL11	0.579926911	-0.550197083	-0.979040381	-0.332016913
CCL2	0.245558586	0.017031521	-0.208539032	-0.851570589
CCL8	-0.632648589	-0.605390382	-0.834872229	-0.642509838
CCL7	0.226798257	-0.335172601	-0.038942532	0.005263944
CCL13	0.338466364	-0.258120647	-0.099687225	-0.216112001
CCL22	-0.18218397	-0.323187101	0.116947894	-0.570736797
MIF	0.241527879	-0.298856275	-0.054784285	-0.592497019
CXCL9	0.151627977	-0.483775877	0.656155322	0.377513757
CCL3	-0.05189378	-0.079191228	-0.520654013	-0.235023874
CCL15	0.135732152	-0.045920021	-0.019362076	-0.351008207
CCL20	0.465969996	-0.473821474	0.103808381	0.456789961
CCL19	-0.132937474	-0.035254576	-0.034173501	-0.213755472
CCL23	0.182864057	-0.188793895	-0.141708759	-0.101465127
CXCL16	0.043777598	-0.28321441	-0.205871482	-0.596307474
CCL25	0.197160097	-0.3752759	-0.073733045	-0.435157103
TNFa	0.659022451	0.563429339	0.448922698	0.203439649
