	LogFC_0_4	LogFC_0_7	LogFC_0_14	LogFC_0_21
Selenomonas	3.701438983	4.377250522	6.917730723	6.348677393
Dialister	0.840477544	0.367054625	2.269003942	2.181429123
Megasphaera	-0.296391536	-1.209686044	-0.026317433	1.477353928
Veillonella	-0.339903512	-0.813753199	-0.893005259	-1.36745684
Rothia	-1.342613653	-0.350721597	-2.761344535	-5.959776913
Corynebacterium	0.31912685	0.746269692	0.647278174	0.350437818
Pseudopropionibacterium	-0.929950825	-0.359381832	-0.230930523	-0.367648349
Scardovia	0	1.493659162	4.598261601	0
Peptidiphaga	-1.196292338	-2.295577312	-1.553829444	-2.518442636
Actinomyces	0.320411321	0.057916568	0.645515818	0.304215185
Saccharibacteria_(TM7)_[G-5]	1.416971918	0	5.68524544	4.919247665
Saccharibacteria_(TM7)_[G-8]	1.426266075	3.154992725	5.14754015	3.867040593
Saccharibacteria_(TM7)_[G-1]	0.699386491	0.908222682	2.172570849	2.388938937
Saccharibacteria_(TM7)_[G-3]	0.88442199	0.343756294	2.696060264	3.807994289
Saccharibacteria_(TM7)_[G-6]	-0.121007508	-0.643646757	-0.720807057	0.333627479
Campylobacter	0.732463847	0.732905884	1.040117821	1.394702898
Porphyromonas	0.619675568	0.696727764	0.373409058	-0.055807449
Tannerella	1.312249579	1.477118801	3.208145642	3.00905799
Prevotella	0.632801294	0.315118127	1.554192627	1.568367194
Bacteroidales_[G-2]	-0.518625353	-0.664016853	0.345570709	0.31029946
Capnocytophaga	2.070824955	2.189528694	2.086994121	1.314434024
Bergeyella	0.459720758	0.860270498	0.833572847	0.530769699
Bacteroidetes_[G-3]	-1.448339953	-3.055848672	-4.652884375	-0.752896666
Bacteroidetes_[G-5]	-0.314776501	-0.432872898	-0.005928021	1.223800398
Alloprevotella	0.221210735	-0.647019136	0.031426626	-0.603137898
Olsenella	-0.260893293	0.021470865	1.147565637	2.897120844
Atopobium	0.120564256	-1.197853141	2.684818658	2.400258691
Leptotrichia	2.006478645	1.923002215	3.030454707	3.273804866
Fusobacterium	-0.577588509	-1.189192829	-0.656918836	-0.353219902
Treponema	-0.059871547	-0.592316523	1.767293412	1.628726228
Absconditabacteria_(SR1)_[G-1]	0.918803108	1.416251422	2.262992564	2.61922464
Gracilibacteria_(GN02)_[G-2]	1.007719044	1.830939555	0.10707786	-0.869399886
Gracilibacteria_(GN02)_[G-1]	0.811466242	2.599422935	3.113715457	2.884498316
Mycoplasma	0	0	4.972993831	4.59699783
Ruminococcaceae_[G-2]	1.014134103	1.82311248	4.66539846	4.33437005
Ruminococcaceae_[G-1]	1.706311027	3.176608449	5.52693404	5.686416021
Oribacterium	0.650328722	-0.514787676	0.262037915	1.642817023
Stomatobaculum	1.560196397	3.096753558	5.598126351	5.43812435
Johnsonella	-1.427201545	-2.889237352	1.19320236	1.057429527
Lachnoanaerobaculum	1.083355271	2.112457354	3.907779073	3.452105962
Lachnospiraceae_[G-2]	0	2.677482984	0	3.938621723
Lachnospiraceae_[G-3]	1.622775582	4.493522878	6.15187349	5.11848594
Catonella	0.013346362	0.665242163	1.389947541	0.986980833
Peptococcus	0.442243874	-0.199287451	0.593671416	0.553393413
Peptostreptococcaceae_[XI][G-1]	-1.367216585	-2.26013946	-3.355151301	-0.671665078
Peptostreptococcaceae_[XI][G-4]	-0.023999477	-1.416484069	-0.440644305	-2.219788752
Peptostreptococcaceae_[XI][G-9]	-0.300879733	-1.19177996	-0.612810333	0.330881988
Peptostreptococcus	-0.607081032	-1.549693426	0.278699159	0.2768644
Filifactor	-0.365154545	-0.666214639	-5.092846064	-1.725459895
Peptostreptococcaceae_[XI][G-7]	-0.654929471	-0.741852474	0.350555877	-0.04380441
Abiotrophia	0.032713905	0.720073447	-1.037096087	-2.085963269
Granulicatella	-0.572377406	-1.514579026	-2.0153044	-2.348203526
Streptococcus	-0.800754494	-0.901293713	-1.135198523	-2.110847855
Gemella	-0.282566461	-0.190044861	-0.516562377	-1.536620936
Parvimonas	0.568243969	0.301018493	0.875256159	0.195987389
Solobacterium	0.05540734	-0.781856205	0.89124879	1.345424734
Erysipelotrichaceae_[G-1]	0	0	1.321662853	3.117857554
Cardiobacterium	0.865580703	1.20529399	1.505406559	1.32753088
Aggregatibacter	0.477707995	1.044271567	1.002360557	0.631742652
Haemophilus	-1.350996201	-0.971062501	-2.843944866	-5.548355231
Neisseria	-0.262276528	0.055866787	-0.883119035	-0.085868686
Eikenella	0.578614484	-0.399408373	0.522937779	0.234380239
Kingella	0.222657833	0.395202725	-0.097002322	-0.578121534
Burkholderia	-1.372604421	-2.377221501	0.933507745	-0.526550171
Acidovorax	-1.450284056	-3.088803163	-2.467832625	-4.338899906
Ottowia	0	2.664411274	5.436768215	5.07284028
Lautropia	0.220689279	0.018183244	-0.958142404	-2.920159746
Moraxella	1.477809152	3.207697298	5.415025024	0
Fretibacterium	-0.796237547	-3.227205335	-2.882353485	-0.395937397
Veillonellaceae_[G-1]	-1.361073407	-2.294952416	0.666886491	2.410527782
