	HT_0 vs HT_4	HT_0 vs HT_7	HT_0 vs HT_14	HT_0 vs HT_21
MPO	NA	0.610197887	1.21988881	1.04320316
CCL21	-0.557790331	-0.832832321	-0.049273435	-0.82051418
CXCL13	-0.445411148	-0.603870963	-0.372263476	-1.026541787
CCL27	-0.600535305	-0.026800059	-0.072603749	0.202018631
CXCL5	-0.166493434	-0.277714006	-0.177409101	-0.31205225
CCL11	-0.127460909	-0.398163681	-0.157908526	-0.271119136
CCL24	-0.788735622	NA	-1.260174453	-1.005283221
CCL26	-1.596935142	0.18966122	-0.526545814	-0.163975735
CX3CL1	0.126473512	-0.286576011	0.068142489	-0.240073257
CXCL6	-0.594885654	-0.635419454	-1.016529748	-1.57469219
GM_CSF	-0.017734069	-0.134871375	0.081864212	-0.108028824
CXCL1	-0.099739903	0.093574945	-0.095071984	-0.187868073
CXCL2	-0.537776471	-0.123547107	0.279022543	0.223088842
CCL1	-0.162536965	-0.341206994	-0.347221123	-0.69051595
IFNy	-1.604379955	-1.052372177	-0.908820623	-1.654503434
IL1b	1.047363992	0.89438583	1.814338703	1.972001438
IL2	-0.157100961	-1.584962501	-0.807354922	-0.792404581
IL4	NA	NA	1.06608919	NA
IL6	-2.13780569	-1.848419958	-1.830578645	-1.974544419
IL8	-0.885102633	-0.808894309	-0.791274127	-1.366824014
IL10	0.008805897	-0.059353805	-0.451815045	-0.433806135
IL16	-0.971256564	-0.98120609	-0.490765362	-0.897333896
CXCL10	-0.894529744	-0.965333699	-1.09715891	-1.137800895
CXCL11	-0.969880012	-0.458290697	-0.154033629	-0.589535231
CCL2	-0.384323504	-0.432020246	-0.504339601	-0.779242361
CCL8	-1.887525271	-2.143364175	-2.321928095	-3.039528364
CCL7	-0.163279328	-0.217524614	-0.003138	-0.146701458
CCL13	-0.213630534	-0.039253748	-0.478194434	-0.535558629
CCL22	0.598231102	0.686888722	1.111686261	0.24224984
MIF	0.754725818	0.800033988	0.538980965	0.59947273
CXCL9	-1.526876364	-1.272332509	-1.152515112	-1.600863421
CCL3	-2.953746903	-2.579578826	-3.165565241	-3.76908356
CCL15	-0.486498699	-0.269701857	0.143720083	0.110402842
CCL20	-0.449712966	-0.98754638	-0.723849732	-1.009976294
CCL19	-0.125432199	-0.682057754	-0.203697881	-0.911239341
CCL23	-1.087689129	-1.25761413	-1.346881468	-1.16168971
CXCL16	-0.483599175	-0.450169877	-0.131469289	-0.091635311
CXCL12	0.341985747	0.097189387	-0.396403325	-0.721271787
CCL17	-0.158429363	-0.343732465	-0.380821784	-0.418889825
CCL25	0.446954249	0.227781943	-0.017737125	-0.132280312
TNFa	-0.593385265	-1.105116706	-0.213621	-0.731975292
