	LogFC_0_21	LogFC_0_4	LogFC_0_7	LogFC_0_14
Selenomonas	2.557031824	1.13329067	0.965269087	0.68940006
Dialister	-0.375631769	-1.130025238	0.328103379	-0.00547958
Anaeroglobus	1.259023083	0	1.037981607	0.773206773
Megasphaera	0.457172737	0.523354103	0.35106646	0.538652574
Veillonella	-0.009945703	0.276702158	0.154474589	-0.340495938
Rothia	-0.642078786	0.138403433	0.381861034	0.03663052
Corynebacterium	0.075220185	0.095162894	-0.019831343	0.45299946
Pseudopropionibacterium	-0.828109663	-1.789746254	-0.770581601	-1.014524498
Scardovia	0	0	0	0.484437157
Peptidiphaga	-1.063825369	-0.686702888	-0.482565044	-0.391941378
Actinomyces	-0.158030079	0.04149276	-0.135221385	0.750210347
Saccharibacteria_(TM7)_[G-8]	0	0	0	0
Saccharibacteria_(TM7)_[G-2]	-0.744786504	-0.706784835	0.673019347	0.240811303
Saccharibacteria_(TM7)_[G-1]	-1.036485184	-1.279908149	-0.46077711	-0.250577317
Saccharibacteria_(TM7)_[G-3]	-1.213629996	0.163515182	0.532456426	0.080164733
Saccharibacteria_(TM7)_[G-6]	1.244663986	0.94996027	0	0
Saccharibacteria_(TM7)_[G-4]	0	0	0	0
Campylobacter	0.400455917	0.455385241	0.335180757	0.599505307
Porphyromonas	-0.142022925	0.047048736	0.102919799	0.217754551
Tannerella	0.128859892	-1.281087071	-1.010879021	0.214950036
Prevotella	-0.345456268	-0.564383752	0.074257458	-0.661755728
Bacteroidales_[G-2]	-1.281570097	-1.315334624	0.088413955	-0.775132797
Capnocytophaga	-0.583638978	0.110481432	-0.562426763	-0.196104308
Bergeyella	-0.762042515	-0.243013765	-0.031226316	-0.499420928
Bacteroidetes_[G-3]	0	0	0.997159682	0
Bacteroidetes_[G-5]	0	0	0	0
Alloprevotella	0.801180462	1.665367783	0.982063621	0.762399643
Slackia	0	0	0	0
Olsenella	-0.370296216	-1.331129638	-0.505761145	-0.269676209
Atopobium	0.372314076	0.231319091	0.709087664	0.579156332
Leptotrichia	-0.473987245	-0.133985527	-0.195504901	-0.163863885
Fusobacterium	0.112359692	0.025547345	-0.059775324	0.307898256
Treponema	-0.601273963	-1.022199743	-0.431380532	-0.11944118
Absconditabacteria_(SR1)_[G-1]	-0.57698397	1.000884232	-0.834792753	0.126661256
Gracilibacteria_(GN02)_[G-1]	0.211031611	-0.120487924	-0.917154224	0.125189847
Mycoplasma	0	0	1.005410757	0.765694305
Ruminococcaceae_[G-2]	1.184099933	0	0.71061171	0.261720683
Ruminococcaceae_[G-1]	-0.134209717	-1.303851711	-1.020368692	-0.440440778
Oribacterium	-0.338926872	-0.121295223	0.068579789	0.155425178
Stomatobaculum	0.96731984	-0.502604145	-0.283119027	-0.304316959
Johnsonella	-1.270177213	-1.314205472	-1.034017946	-0.314494104
Lachnoanaerobaculum	0.115572322	0.366813897	0.240718209	0.348798415
Lachnospiraceae_[G-2]	0	0	0	0
Shuttleworthia	1.059296608	0	0.951488132	0.594739268
Lachnospiraceae_[G-3]	0.727026533	-0.624039335	-0.483967262	0.5983533
Catonella	-1.055426723	-1.220824632	-0.124016956	-0.38311581
Peptococcus	-0.72682347	-0.235729217	0.292739731	-0.207678185
Peptostreptococcaceae_[XI][G-1]	-0.611656349	-0.386060151	0.237914043	-0.467508228
Peptostreptococcaceae_[XI][G-9]	-0.805266511	-0.387817886	0.133112744	0.006625443
Peptostreptococcus	0.452863725	0.291534247	0.800830199	0.296054697
Peptostreptococcaceae_[XI][G-7]	0.642682245	0.596300273	0.652561519	0.303540715
Abiotrophia	-0.548896451	-1.274959747	0.095308678	-0.070286999
Granulicatella	-1.113083651	-0.526499901	-0.337136758	-1.329544283
Streptococcus	-0.975020865	-0.395604181	0.024034121	-0.762721252
Gemella	-0.36681178	0.374471437	0.98063412	0.28087887
Parvimonas	0.184188196	0.334271764	0.266385316	-0.192846912
Solobacterium	-0.508863043	-0.491311616	0.307299223	-0.086541628
Cardiobacterium	-0.905302496	-0.141217934	-0.663156896	-0.24312786
Aggregatibacter	0.273552582	0.258240717	-0.127736665	0.180769943
Haemophilus	-0.900450306	0.022086871	0.331223635	0.139541147
Neisseria	-1.337955178	-0.189441018	-0.287737774	-0.440355109
Eikenella	0.801051435	0.525405488	0.874361565	0.482317708
Kingella	-1.002509433	0.174813973	0.290189305	-0.732023945
Acidovorax	0	0	0	0.221720417
Lautropia	0.020967304	0.887302381	1.113879475	0.349375967
Veillonellaceae_[G-1]	0.799480291	0	0	0
