	LC_0 vs LC_4	LC_0 vs LC_7	LC_0 vs LC_14	LC_0 vs LC_21
MPO	NA	0.570259492	-0.480780976	-0.076444299
CCL21	0.153476346	0.209497324	0.211254566	-0.317732441
CXCL13	-0.460385537	-0.670969184	-1.109133832	-1.440693689
CCL27	-1.07360309	-0.919217345	-2.038270017	-1.3059658
CXCL5	-0.208873067	-0.096194328	-1.064212793	-0.519398027
CCL11	-0.205252011	-0.67678845	-0.558607024	-0.584503993
CCL26	0.717066037	1.253118937	-0.14543044	0.764371752
CX3CL1	0.304553675	-0.551371428	-0.920235064	-0.673598547
CXCL6	-0.565507078	-0.190589887	-0.81400539	-0.650764951
GM_CSF	0.537714797	0.12222765	0.497753441	0.148372757
CXCL1	-0.249407622	-0.2266543	-0.83926282	-0.675394306
CXCL2	0.278462322	0.014571463	-0.950788649	-0.366135
CCL1	-0.221496059	-0.19970737	-0.42072743	-0.683281818
IFNy	0.316276427	1.275634443	-0.978466838	-3.010888316
IL1b	-1.148573105	-1.066438184	-2.839250848	-0.909884205
IL2	0.625320238	0.002555705	-0.471848421	0.269839584
IL6	-0.28136517	-0.293364016	-1.488880731	-2.831532305
IL8	-0.638589696	-0.597813814	-2.030237651	-1.110329006
IL10	-0.761469882	-1.207324973	-1.354882162	-1.044216633
IL16	0.196470641	-0.392260645	-1.346631091	-0.615763177
CXCL10	-0.44225802	0.484957665	-1.103763636	-1.723003441
CXCL11	-3.141773961	-2.577873076	-2.758445322	-1.758445322
CCL2	-0.851934433	-0.237499314	-2.307089586	-2.751501687
CCL8	-1.440965964	-0.147726628	-1.91707904	-3.904139985
CCL7	0.357873611	-0.4782357	-0.109555086	-0.938050087
CCL13	-0.647229544	-0.722583226	-1.172857906	-1.050082047
CCL22	-0.58186275	-0.288424922	-0.631141997	-0.12208039
MIF	-0.443537732	-0.812528347	-0.824866461	-0.66029387
CXCL9	-0.917426406	0.237264081	-2.567087645	-2.414997382
CCL3	-0.825331498	-0.40584373	-2.807492132	-1.763971473
CCL15	0.016948827	-0.14888342	0.080643502	-0.22913551
CCL20	-0.098248746	-0.697980706	-1.880443594	-1.51685286
CCL19	0.20624838	-0.081212068	-0.191343985	0.086569255
CCL23	0.324371271	1.068641666	0.106041637	0.702319451
CXCL16	-0.869722745	-0.704615744	-1.331143526	-1.299857837
CCL25	-0.265252669	-0.429445665	-0.388674364	-0.615688817
TNFa	-0.41900095	0.224299487	-1.08246216	-1.700810829
