	LogFC_0_4	LogFC_0_7	LogFC_0_14	LogFC_0_21
Selenomonas	0.970931595	1.302449749	2.341328681	2.367511621
Dialister	0.019874896	0.753282174	1.071507312	1.298916467
Anaeroglobus	1.251980018	0	1.96098213	2.961786286
Megasphaera	0.257545909	0.490956693	1.064053313	-0.056956208
Veillonella	0.093167526	0.19055011	-0.879382569	-0.874509061
Rothia	-0.665543661	-1.93323304	-7.770356392	-2.727273304
Corynebacterium	0.829760656	0.871631459	0.711638816	0.760806597
Pseudopropionibacterium	-2.683773451	-1.742582955	-2.882020722	-1.807911985
Scardovia	0.564505412	0.070827555	1.063522312	0.661245327
Peptidiphaga	-1.795409007	-0.562983077	-2.723282733	-2.863549516
Actinomyces	-0.158466508	-0.453743734	-0.316808698	-0.078202421
Saccharibacteria_(TM7)_[G-8]	0	0	1.354310925	2.529057991
Saccharibacteria_(TM7)_[G-2]	1.147100806	0	0	2.620676423
Saccharibacteria_(TM7)_[G-1]	0.686509063	0.992164015	1.768494204	2.166725471
Saccharibacteria_(TM7)_[G-3]	0.786377	1.410545607	1.472586943	1.565307376
Saccharibacteria_(TM7)_[G-6]	1.293903711	1.369845389	1.753426575	3.017912542
Saccharibacteria_(TM7)_[G-4]	0	0	1.588412374	2.929389751
Campylobacter	0.577048517	1.039028443	0.710306629	1.068525691
Porphyromonas	1.432693615	1.123016872	0.621232183	1.096650797
Tannerella	0.526020898	0.771692514	1.409694727	1.531641773
Prevotella	0.456253016	0.827667731	1.09842954	1.066554463
Bacteroidales_[G-2]	0	1.270908055	1.961055397	3.590577617
Capnocytophaga	1.270421167	1.269103543	0.557930374	1.365349394
Bergeyella	0.684544301	0.196135738	-0.285982921	0.88532763
Bacteroidetes_[G-3]	-1.258520759	-1.332481997	-1.918256202	-2.88394728
Bacteroidetes_[G-5]	0	1.335614197	0.632074602	3.026116123
Alloprevotella	2.017989944	1.458522377	2.451950279	2.548581237
Slackia	0	0	1.801687244	2.879822144
Olsenella	-0.705509118	-1.359272376	-0.106748566	0.886993242
Atopobium	0.376952927	0.412759009	0.327583722	-0.066315637
Leptotrichia	1.43234828	1.861183286	2.092828921	2.338533698
Fusobacterium	-0.223596311	-0.028075783	0.079926453	0.130434204
Treponema	-0.818997875	-0.291739535	0.731655144	1.808585091
Absconditabacteria_(SR1)_[G-1]	1.040600404	1.303138698	1.610950504	3.058846247
Gracilibacteria_(GN02)_[G-1]	0.764231835	1.336366724	1.779746035	2.949050728
Mycoplasma	0.765344459	0	0	1.929014718
Ruminococcaceae_[G-2]	0	0	1.451514131	2.272376002
Ruminococcaceae_[G-1]	1.271528022	1.221595131	3.369442746	4.899074123
Oribacterium	0.396859178	0.060703475	0.373602196	0.985746416
Stomatobaculum	0.999980427	1.252255551	1.160767873	-1.567389543
Johnsonella	-0.761656059	-0.71672496	0.405754079	2.054753103
Lachnoanaerobaculum	1.302610973	1.604478742	0.966764425	1.41441147
Lachnospiraceae_[G-2]	0	1.354889	0	0.846022094
Shuttleworthia	0	1.339408506	1.948881621	2.947644602
Lachnospiraceae_[G-3]	1.023492123	1.478219489	2.865249743	4.090103071
Catonella	-0.012013055	0.241966187	0.605762632	0.915522228
Peptococcus	-0.177768192	-0.701625033	1.054852243	1.378433046
Peptostreptococcaceae_[XI][G-1]	-1.120705123	-1.15011021	0.585887824	1.037496114
Peptostreptococcaceae_[XI][G-9]	-0.200013584	0.147128092	0.47082764	0.386876462
Peptostreptococcus	-0.320464219	-0.122836359	0.487682727	-0.125557882
Peptostreptococcaceae_[XI][G-7]	-0.109987133	0.376131329	0.298701895	1.178730763
Abiotrophia	0.198681212	-0.06940616	-0.849288207	-2.926560967
Granulicatella	0.329797177	-0.255643178	-0.597588008	-1.052707188
Streptococcus	-1.044017448	-0.903032488	-1.739970977	-1.56714167
Gemella	0.485363743	0.355451577	0.699865665	0.457609013
Parvimonas	-0.253861349	0.100297917	-0.171096528	0.156736199
Solobacterium	0.653176078	1.003911421	1.891790117	1.44341864
Cardiobacterium	-0.026867342	0.734281067	0.25402473	1.356749003
Aggregatibacter	0.412299574	0.346519002	0.207929436	0.664151633
Haemophilus	-0.19732536	-1.012177174	-1.287179529	-2.153949924
Neisseria	0.516488487	0.023674598	-0.074080262	-0.134494405
Eikenella	0.568470946	0.57327606	0.382624262	0.266428071
Kingella	0.432386292	0.657194501	-0.578865296	0.646003222
Acidovorax	-1.233052375	-1.298615119	-1.851441088	-2.551040137
Lautropia	0.309408896	-0.442815141	-0.927123948	-1.497895021
Veillonellaceae_[G-1]	-0.94345515	-0.971958605	0.92915284	1.860886032
