	LT_0 vs LT_4	LT_0 vs LT_7	LT_0 vs LT_14	LT_0 vs LT_21
MPO	NA	0.910066426	0.858544594	0.480640706
CCL21	-0.523584544	-1.071112302	0.319034022	-0.308259977
CXCL13	-1.055469089	-1.047217236	-0.574383571	-0.484365437
CCL27	-1.069421401	0.053849974	1.519599316	-0.504923003
CXCL5	-0.299631506	-0.590391865	0.395392652	-0.453382935
CCL11	-0.453255269	-0.440324699	0.096431757	-0.615360766
CCL24	-0.733354341	-2.282692932	0.624197664	-0.826463745
CCL26	0.280107919	-0.152003093	0.040641984	1.055592326
CX3CL1	-0.03757612	-0.08686084	0.484738518	0.258612041
CXCL6	-1.270394757	-1.275695199	-0.827230431	-1.097162982
GM_CSF	0.131386165	-0.42170123	0.276928847	-0.022023749
CXCL1	-0.450107075	-0.270516864	0.078963593	0.098605939
CXCL2	-0.689649604	-0.221649339	0.251895494	0.64394538
CCL1	-0.393876397	0.007567545	0.647398418	-0.338461901
IFNy	-0.664132714	-2.516575526	-0.546949175	0.11569269
IL1b	-1.056339504	-0.115559713	0.387866031	0.599055338
IL2	0.586405918	-0.363963315	-0.066495412	-0.174807223
IL4	NA	NA	0.695145418	-1.807354922
IL6	-2.323459348	-2.14363831	-0.758207273	-0.627938472
IL8	-0.994189576	-1.337270101	-1.03765168	-0.698941385
IL10	0.174949431	-0.003023079	1.138376788	-0.328463141
IL16	-0.572856857	-0.951786732	1.825368761	0.010219707
CXCL10	-0.145443248	-0.031333207	0.923921676	-0.524266569
CXCL11	-0.400179541	0.437267447	-1.576029376	-0.264827688
CCL2	-0.929116514	-1.056445147	-0.275543401	-0.912740685
CCL8	-1.490103314	-1.60968493	5.463564052	-1.60968493
CCL7	-0.016139703	0.078096367	0.301936067	0.334357544
CCL13	-0.453250546	-0.384508026	0.056835235	-0.13106645
CCL22	0.084090616	0.337209553	1.622186511	0.070854788
MIF	1.15881548	0.91294283	0.780398005	0.877801256
CXCL9	-2.007737832	-1.02561125	0.608129923	-0.6806737
CCL3	-3.899713535	-3.711821987	-2.921572969	-2.583219326
CCL15	-0.194313086	0.002454607	0.670219856	0.68710265
CCL20	-0.545842485	-0.397519738	0.036053713	-0.031499059
CCL19	-0.071373663	-0.110879936	0.885710242	-0.152339543
CCL23	0.498293003	0.525010341	2.049147649	NA
CXCL16	-0.715133378	-0.453699807	0.035481277	-0.176623539
CXCL12	0.182501471	-0.151485773	0.53037825	0.195469603
CCL17	0.202816883	0.087996481	1.150641418	0
CCL25	0.924693139	0.592799129	0.410184983	0.495739804
TNFa	-0.847070022	-0.892819911	1.075853755	-0.1544777
