	LogFC_0_4	LogFC_0_7	LogFC_0_14	LogFC_0_21
Selenomonas	0.343382634	-1.347383112	0.444275759	2.505725483
Dialister	0.248277683	-0.594724428	0.041727128	1.383959243
Anaeroglobus	0.866345596	0	0	1.541879289
Megasphaera	-0.025788936	-0.338400866	-0.187882793	0.499404654
Veillonella	-0.269695515	-0.508112754	-0.591286266	-0.069345644
Rothia	-0.245600895	-0.765371615	-0.426293043	-1.316009222
Corynebacterium	-0.097309499	-0.451097087	0.021103044	-0.120877663
Cutibacterium	0.047443271	-1.273760973	-0.661628322	-2.481602069
Pseudopropionibacterium	0.042149669	0.207980752	0.538443781	0.339360076
Scardovia	-0.450463694	0.75739334	0.065454651	1.692008169
Peptidiphaga	-0.389302911	-0.639734263	0.001306617	-0.301673301
Actinomyces	-0.412153551	-0.434394444	0.074978752	-0.095107692
Saccharibacteria_(TM7)_[G-5]	-0.551966361	-0.310804151	-0.54375725	1.961862693
Saccharibacteria_(TM7)_[G-8]	0	0	0	0
Saccharibacteria_(TM7)_[G-1]	0.434741388	-0.236162853	0.840806229	1.678783883
Saccharibacteria_(TM7)_[G-3]	-0.688767164	-1.009532189	-0.040313451	0.581212202
Saccharibacteria_(TM7)_[G-6]	0	1.258330801	0.476212085	1.790379437
Saccharibacteria_(TM7)_[G-4]	0	0	0.647383586	0
Campylobacter	0.567167169	-0.742309493	0.439884965	0.655768482
Porphyromonas	0.622213999	0.381379208	-0.058949894	-0.297488397
Tannerella	-0.0539983	-0.987486811	-0.029125614	2.326497609
Prevotella	0.59612712	-0.431612151	0.327572499	1.573998284
Bacteroidales_[G-2]	0	0.170671777	0.662220531	2.205520729
Capnocytophaga	0.465558161	0.215532527	0.114059243	0.395785379
Bergeyella	0.366593055	0.903048681	0.188270664	-0.044578463
Alloprevotella	-0.239420889	-0.04165531	0.169092107	-0.158968044
Olsenella	0.863547649	1.147341354	0.645247122	2.224190534
Atopobium	0.29433224	-0.455336492	-0.05050093	0.675372779
Leptotrichia	0.243314377	-0.138374268	0.326374813	0.262537163
Fusobacterium	0.000227898	-1.349090911	0.161901009	0.968521339
Treponema	-0.211827021	-1.29512712	0.093169624	1.482217075
Absconditabacteria_(SR1)_[G-1]	-0.12566849	-1.221193584	0.180049157	-1.838344581
Gracilibacteria_(GN02)_[G-2]	-0.853528054	0.317816298	-0.661588399	-1.407554304
Gracilibacteria_(GN02)_[G-1]	0	0	0	0
Mycoplasma	0.822664946	0	0	1.155963616
Ruminococcaceae_[G-2]	0	0	0	0.190273453
Ruminococcaceae_[G-1]	0.288370899	-0.818790344	0.205581739	0.062467652
Oribacterium	-0.068354239	0.074085616	0.261903318	0.981339089
Stomatobaculum	0.844912693	0	0.394478074	1.934503261
Johnsonella	-0.037275393	-1.235684349	0.413115915	-0.679968966
Lachnoanaerobaculum	-0.029730149	0.104191424	0.048297163	0.679705224
Lachnospiraceae_[G-2]	-0.863909738	-1.289859054	-0.260000353	-0.651611882
Shuttleworthia	0	0	0.54312152	1.748825287
Lachnospiraceae_[G-7]	0	0	0.261198979	0.787530911
Lachnospiraceae_[G-3]	0.120173538	-0.465316271	0.280827792	1.037360626
Catonella	-0.344376003	-0.627476988	-0.416403695	0.733181643
Peptococcus	0.007165049	-0.894772767	-0.14125854	0.628257097
Peptostreptococcaceae_[XI][G-1]	0	0	0	1.152989976
Peptostreptococcaceae_[XI][G-9]	-0.301091497	-0.837505257	-0.246631411	0.789354847
Peptostreptococcus	0.552040777	1.398267419	0.371301292	1.794200553
Filifactor	0	0	0.486397305	1.374112448
Peptostreptococcaceae_[XI][G-7]	-0.15419415	-0.527267231	-0.040544746	-0.630449119
Abiotrophia	0.354610895	0.283220348	-0.502787988	-1.241747502
Granulicatella	-0.328293275	-0.189909457	-1.211100953	-2.057012821
Streptococcus	0.100583825	-0.828826384	-1.130890232	-2.447831767
Gemella	0.168982967	-0.227632547	-0.902276196	-1.694388723
Parvimonas	0.437483798	0.045614619	0.274341958	1.134152582
Solobacterium	0.461600966	-0.787402758	-0.220639677	0.66449148
Cardiobacterium	0.378305204	0.981835724	0.661606288	0.550980245
Aggregatibacter	0.638233985	0.396842496	0.31250199	0.567428922
Haemophilus	0.080837257	-0.476989906	-0.591900386	-2.040115896
Neisseria	0.179336737	0.458238279	-0.768501051	-1.427987345
Eikenella	-0.23366007	-0.81248383	-0.548545992	-0.173567886
Kingella	0.937106749	0.742294285	0.215643729	0.630563183
Burkholderia	0	1.448315772	0.620181204	0
Acidovorax	-1.058129836	-1.119764604	-0.65992182	-2.317994818
Ottowia	0.730421465	0.876027546	0	0
Lautropia	-0.123793305	-0.5374251	-0.542386135	-0.843348402
Moraxella	0	0.684096132	0.484293596	0
Fretibacterium	0.530557718	0	0	1.884233076
Veillonellaceae_[G-1]	0.787938356	0	0.65929998	2.029205942
