	SC_0 vs SC_4	SC_0 vs SC_7	SC_0 vs SC_14	SC_0 vs SC_21
MPO	NA	1.190956271	0.905407861	0.61425802
CCL21	-0.226624608	0.554012598	0.200960346	-0.415091164
CXCL13	-0.459008023	0.550086859	-0.002261278	-0.633794189
CCL27	-0.96829114	0.319617934	-0.477497803	0.415037499
CXCL5	-0.053824588	0.519311564	0.312247818	-0.327093101
CCL11	-0.388172935	0.288540372	0.097098688	-0.092556118
CCL26	-2.408582477	-0.17154328	-0.193569586	-1.006484034
CX3CL1	-0.552071421	0.012332111	-0.399871588	-0.598388242
CXCL6	0.118309732	0.614006715	0.292230267	-0.475360654
GM_CSF	0.027345094	0.007623108	0.353170611	0.105333912
CXCL1	-0.390746467	0.410049722	0.164553178	-0.290942625
CXCL2	-0.512516529	0.430677319	0.039368176	-0.146186274
CCL1	-0.27430185	-0.205731598	-0.44091462	-0.866825168
IFNy	-0.494359952	-0.036069255	-0.590315735	-0.500394238
IL1b	-1.146511854	-0.573608851	0.009710251	-0.461033143
IL2	-0.171196659	0.086340849	-0.294053406	-0.863074363
IL6	-1.456889188	0.817440873	-0.43427252	-0.679036524
IL8	-0.163409087	0.558331999	0.477344285	-0.577167471
IL10	-0.317466013	0.369388865	-0.221779161	-0.393381665
IL16	-0.803687754	0.43248227	-0.077810559	-0.43064845
CXCL10	-0.827231146	0.337981816	-1.744753215	-1.909893709
CXCL11	-1.894563725	1.469074622	-2.448937906	-1.845043589
CCL2	-2.148036977	0.217794858	-1.434176743	-1.97961088
CCL8	-2.106019707	-0.420407913	-1.942918905	-2.321928095
CCL7	-0.169076607	0.021799378	0.127027713	-0.053910282
CCL13	-0.435269215	0.424260009	0.001469289	-0.42734012
CCL22	0.168686955	0.716691198	0.534189939	0.404155933
MIF	-0.526013323	-0.277714302	-0.687806263	-1.466485133
CXCL9	-0.519353666	0.364396597	-0.948984829	-1.273565073
CCL3	-0.408716951	0.351095964	-0.025135207	-0.143303398
CCL15	-0.316672369	0.665611435	0.055865353	-0.573401332
CCL20	-0.864128089	0.021902543	-0.658828219	-0.511282269
CCL19	-0.862652435	0.171766348	-0.035602467	-0.170997557
CCL23	-0.473515965	-0.308046021	-0.097268228	-0.539888986
CXCL16	-0.517028228	0.368951182	0.010474599	-0.672545805
CCL25	-0.320159662	-0.118551902	-0.572418996	-1.066843115
TNFa	-0.643554266	-0.003628019	-0.143275429	-0.510014556
