	LogFC_0_4	LogFC_0_7	LogFC_0_14	LogFC_0_21
Selenomonas	-0.687169307	0.352122186	3.174520082	3.603218387
Dialister	-0.599877678	-0.145606477	1.198356147	1.420710338
Anaeroglobus	0	0	1.397618761	2.630788347
Megasphaera	-0.10726147	-1.409983488	1.082299187	1.150714385
Veillonella	0.438665973	1.042073438	0.309539464	0.284462876
Rothia	-0.500156015	-2.100839454	-1.742394937	-1.664215505
Corynebacterium	-0.712345629	-1.18871096	0.389933502	0.841251807
Cutibacterium	-0.939075258	-1.467253169	-2.465931152	-2.891474194
Pseudopropionibacterium	-0.089216896	-0.089920175	1.198314238	1.520209561
Scardovia	-0.58338438	0.121734473	-0.364460945	-0.028901689
Peptidiphaga	-0.908302022	-2.091542296	-1.459107452	-2.163965885
Actinomyces	-0.319181864	-0.135383813	0.036668609	0.253217311
Saccharibacteria_(TM7)_[G-5]	-0.939887257	-1.472438855	-2.46389155	-2.886416959
Saccharibacteria_(TM7)_[G-8]	0.935067704	0	2.562759281	3.066610271
Saccharibacteria_(TM7)_[G-1]	-0.003685946	0.332248886	1.222797043	1.660918431
Saccharibacteria_(TM7)_[G-3]	-0.692528008	-0.060219669	0.543203797	-0.24522445
Saccharibacteria_(TM7)_[G-6]	0	0	2.84643412	2.854837159
Saccharibacteria_(TM7)_[G-4]	0	0	2.48053225	2.959895101
Campylobacter	-0.538056545	0.355779974	0.862592464	1.236489031
Porphyromonas	0.369188356	0.829618326	1.195964153	1.275522525
Tannerella	0.237577232	0.408017643	1.913151657	2.273570057
Prevotella	0.085722276	0.886454923	2.309971211	2.354611832
Bacteroidales_[G-2]	-0.311155722	-0.532524358	1.220769649	1.83060789
Capnocytophaga	0.721359026	0.869059435	1.590846182	1.243346133
Bergeyella	-0.282627949	-0.29539608	0.317621659	0.072619173
Alloprevotella	0.263150001	0.182101024	1.929282776	2.082311923
Olsenella	-0.924951367	-1.439663562	-2.226186098	-0.333724895
Atopobium	0.561906642	0.972856095	0.402844883	1.63174112
Leptotrichia	-0.054684493	0.67041493	1.433389544	1.754329989
Fusobacterium	-0.088697556	-0.232731599	0.351908289	0.581194043
Treponema	-0.612354766	-0.307689004	1.508617009	2.154773135
Absconditabacteria_(SR1)_[G-1]	0.561303557	0.752435428	1.707569473	0.543374243
Gracilibacteria_(GN02)_[G-2]	0.166174459	0.458205738	0.429493788	-0.208361694
Gracilibacteria_(GN02)_[G-1]	0.911572412	1.658101868	2.548117028	3.694568552
Mycoplasma	0	0	1.640373056	3.003855192
Ruminococcaceae_[G-2]	0	1.47680095	2.363026113	2.903573823
Ruminococcaceae_[G-1]	-0.92924032	-0.127344357	1.791749428	1.590223731
Oribacterium	-0.438034018	-1.70093874	-0.618095027	-0.616682623
Stomatobaculum	0.93566102	1.668241734	2.506337472	2.953559699
Johnsonella	-0.483633474	-1.485960476	-0.662888614	0.230738577
Lachnoanaerobaculum	0.3902058	1.217425772	1.885909911	1.552407764
Lachnospiraceae_[G-2]	0.943035358	0	2.539316691	3.053186061
Shuttleworthia	0.358534078	0	1.044114408	1.17906877
Lachnospiraceae_[G-7]	-0.315381204	-0.394679111	0.368584393	-0.508559159
Lachnospiraceae_[G-3]	0.246082596	0.817555983	2.185351945	2.1947331
Catonella	0.459882827	0.790004415	2.722574996	2.783461285
Peptococcus	0.052895259	0.225627541	1.017866299	1.697511992
Peptostreptococcaceae_[XI][G-1]	-0.916495233	-1.421624491	-0.193943726	0.523232955
Peptostreptococcaceae_[XI][G-9]	0.372053989	0.344316177	0.756050158	1.423002252
Peptostreptococcus	-0.374642707	-0.296117298	-0.501463956	0.211639418
Filifactor	0.18089999	-1.200084798	-0.034318981	0.709009767
Peptostreptococcaceae_[XI][G-7]	0.324770505	-0.277962198	0.821322845	1.439456118
Abiotrophia	0.800305056	0.442011746	0.137170104	-0.130457906
Granulicatella	0.622224431	0.188797045	-0.327222987	-0.786188978
Streptococcus	-0.415511865	-0.702903805	-1.339784438	-1.473498365
Gemella	0.428920203	0.09145707	0.150343909	-0.001954352
Parvimonas	0.608717476	0.75747718	0.65164858	0.566937136
Solobacterium	-0.198310362	0.599468839	1.740889847	1.927950629
Cardiobacterium	-0.183493643	0.257670057	2.14233157	1.912671132
Aggregatibacter	-0.10713494	-0.106301056	0.366398419	0.801619904
Haemophilus	0.17861916	-0.607866276	-1.206974305	-1.87493382
Neisseria	0.642095048	-0.00430952	0.092596139	-0.428156679
Eikenella	0.745467738	0.856567365	1.407292025	1.112552241
Kingella	-0.229983847	0.184270299	0.168475135	0.006080227
Burkholderia	0	0	2.506892766	2.686643558
Acidovorax	-1.989377859	-2.497524896	-4.273487006	-2.001228284
Ottowia	0.923498485	1.645481314	2.578921262	3.04518271
Lautropia	0.137829708	0.391052884	0.870435634	0.203800396
Moraxella	0.939941241	1.638506752	0	2.846184503
Fretibacterium	0	0	2.484392721	3.061227547
Veillonellaceae_[G-1]	-0.935452634	-1.462335238	0.020623394	0.775665856
