	ST_0 vs ST_4	ST_0 vs ST_7	ST_0 vs ST_14	ST_0 vs ST_21
MPO	NA	0.976691607	1.297977754	1.325136277
CCL21	0.142980066	-0.083375897	-0.135080233	-0.132954669
CXCL13	0.106685932	-0.065767957	0.218489831	-0.351721409
CCL27	0.630354404	0.380031049	-0.019899557	-0.235628248
CXCL5	-0.693202588	-0.332625696	0.172755896	-0.186136603
CCL11	-0.027802279	-0.389885479	0.073803882	-0.278338826
CCL24	-0.235378063	-0.545804125	-0.290115093	-0.884312216
CCL26	0.425182057	1.200621799	0.653134003	1.970616193
CX3CL1	-0.219161468	-0.523985145	-0.008525298	-0.376271728
CXCL6	-0.303798291	-0.137897933	0.039315942	-0.67077028
GM_CSF	0.013977054	-0.127774299	0.155280904	-0.095039614
CXCL1	-0.481222449	-0.230217686	0.166079876	-0.184549266
CXCL2	-1.302773521	-0.872271241	0.336604672	0.021890067
CCL1	-0.17597577	-0.526261106	-0.465747321	-0.114435419
IFNy	-0.260260607	-0.114923612	0.328108495	0.601314706
IL1b	-0.694330293	0.480159859	1.701389073	0.526564441
IL2	-1.025090981	-0.791891805	0.522840789	-0.195015982
IL4	NA	NA	NA	NA
IL6	-2.942913782	-3.053259892	-1.089379318	-3.237684463
IL8	-1.501858041	-0.706754519	-0.538013529	-1.394968544
IL10	0.137371837	-0.234635674	0.10788054	-0.338865819
IL16	-1.130158005	-0.767081906	0.14660719	-0.623551734
CXCL10	-1.328166267	-0.924898545	-1.225321536	-1.646592066
CXCL11	-0.902152677	0.016775713	1.196857329	-1.55987152
CCL2	-2.116202372	-1.641422789	-0.032998276	-1.958552715
CCL8	-1.404695555	-1.592767903	-0.874180838	-0.538996647
CCL7	-0.126272056	0.054649025	0.225217489	0.501780971
CCL13	-0.531523242	-0.309599304	0.138938692	-0.282726743
CCL22	0.814750613	0.435178637	1.087070858	0.379325403
MIF	0.728928492	0.594465511	0.944519072	0.327778979
CXCL9	-0.411628338	-0.792174733	0.050242246	-0.968403447
CCL3	-3.087878783	-2.278252496	-1.827597238	-2.876642583
CCL15	0.639870842	0.079311079	0.781772826	0.587493747
CCL20	-0.660847455	-1.225232373	-0.580084539	-0.928007843
CCL19	0.73589256	0.831575908	0.07602525	0.517102375
CCL23	-0.479370466	-0.06576777	-0.278027609	-0.084733048
CXCL16	0.033578592	0.188378067	0.718273439	0.165842541
CXCL12	-0.206450877	-0.062718043	0.477815651	0.845781125
CCL17	NA	NA	NA	NA
CCL25	0.624986526	0.447210898	0.433601534	-0.086277089
TNFa	-1.241868126	-1.33966194	0.04291699	-0.577779832
